,group,cell_name,input_current,f_rate,t_last_spike,R,Tau,sweep,rest_potential
190,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,1200.0,241.20603015075372,499.3,87.1348,4.62701,8,-72.54830932617188
191,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,1400.0,248.18401937046002,497.0,87.1348,4.62701,9,-72.54830932617188
192,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,1600.0,148.11767126105744,487.19999999999993,87.1348,4.62701,10,-72.54830932617188
193,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,1800.0,278.24620573355816,119.6,87.1348,4.62701,11,-72.54830932617188
194,Naive DMS,20210920_PV_DMS_s1c1_0000.abf,2000.0,286.97571743929365,91.5,87.1348,4.62701,12,-72.54830932617188
195,Naive DMS,20211018_PV_DMS_s1c2_0000.abf,-400.0,0.0,,95.763198852539,4.60562562942504,0,-73.02571282019981
196,Naive DMS,20211018_PV_DMS_s1c2_0000.abf,-200.0,0.0,,95.763198852539,4.60562562942504,1,-73.02571282019981
197,Naive DMS,20211018_PV_DMS_s1c2_0000.abf,0.0,0.0,,95.763198852539,4.60562562942504,2,-73.02571282019981
198,Naive DMS,20211018_PV_DMS_s1c2_0000.abf,200.0,0.0,,95.763198852539,4.60562562942504,3,-73.02571282019981
199,Naive DMS,20211018_PV_DMS_s1c2_0000.abf,400.0,74.33409043981003,489.0,95.763198852539,4.60562562942504,4,-73.02571282019981
200,Naive DMS,20211018_PV_DMS_s1c2_0000.abf,600.0,126.73506336753168,499.9,95.763198852539,4.60562562942504,5,-73.02571282019981
201,Naive DMS,20211018_PV_DMS_s1c2_0000.abf,800.0,166.86771210293531,499.4,95.763198852539,4.60562562942504,6,-73.02571282019981
